leecode_num,title,acceptance,difficulty,frequency,freq_rank
1,Two Sum,46.0%,Easy,4.5466562651434055,1
42,Trapping Rain Water,50.5%,Hard,4.510245944611339,2
146,LRU Cache,34.9%,Medium,4.503589633334892,3
200,Number of Islands,48.3%,Medium,4.467179312802825,4
2,Add Two Numbers,34.8%,Medium,4.4307689922707585,5
91,Decode Ways,25.7%,Medium,4.404294491593371,6
829,Consecutive Numbers Sum,39.4%,Hard,4.367884171061304,7
56,Merge Intervals,40.4%,Medium,4.331473850529237,8
5,Longest Palindromic Substring,30.0%,Medium,4.2950635299971704,9
3,Longest Substring Without Repeating Characters,31.0%,Medium,4.258653209465104,10
238,Product of Array Except Self,61.1%,Medium,4.242806130406192,11
121,Best Time to Buy and Sell Stock,51.2%,Easy,4.206395809874126,12
53,Maximum Subarray,47.4%,Easy,4.169985489342059,13
4,Median of Two Sorted Arrays,30.6%,Hard,4.133575168809992,14
953,Verifying an Alien Dictionary,52.7%,Easy,4.125625680418555,15
273,Integer to English Words,27.8%,Hard,4.104573367145823,16
68,Text Justification,29.0%,Hard,4.102115660517078,17
20,Valid Parentheses,39.5%,Easy,4.065705339985011,18
15,3Sum,27.6%,Medium,4.06147835389907,19
21,Merge Two Sorted Lists,55.1%,Easy,4.060936188526718,20
394,Decode String,52.1%,Medium,4.024525867994651,21
763,Partition Labels,77.8%,Medium,3.9974322646479656,22
253,Meeting Rooms II,46.4%,Medium,3.968529182779034,23
23,Merge k Sorted Lists,41.7%,Hard,3.949508675179386,24
206,Reverse Linked List,64.4%,Easy,3.942999795379359,25
973,K Closest Points to Origin,64.4%,Medium,3.9247503537593635,26
1396,Design Underground System,68.4%,Medium,3.8915156244510074,27
221,Maximal Square,38.4%,Medium,3.862101754685017,28
1192,Critical Connections in a Network,49.6%,Hard,3.8256914341529504,29
560,Subarray Sum Equals K,43.9%,Medium,3.8242192733587075,30
380,Insert Delete GetRandom O(1),48.4%,Medium,3.8043772646600806,31
31,Next Permutation,33.1%,Medium,3.7996894968528077,32
937,Reorder Data in Log Files,54.3%,Easy,3.7866688664426045,33
420,Strong Password Checker,13.8%,Hard,3.7668911886360266,34
1041,Robot Bounded In Circle,54.6%,Medium,3.765613398888899,35
139,Word Break,41.2%,Medium,3.7403798297576514,36
780,Reaching Points,30.1%,Hard,3.7193737636205215,37
1249,Minimum Remove to Make Valid Parentheses,63.4%,Medium,3.6922936345483173,38
17,Letter Combinations of a Phone Number,48.3%,Medium,3.6558833140162506,39
295,Find Median from Data Stream,46.1%,Hard,3.6439875453314694,40
1335,Minimum Difficulty of a Job Schedule,57.8%,Hard,3.6326462022604757,41
